year,iso3c,population
2025,CMR,30032000.0
1995,COD,41576000.0
1996,COD,42757000.0
1997,COD,44838000.0
1998,COD,45734000.0
1999,COD,46649000.0
2000,COD,48049000.0
2001,COD,49449000.0
2002,COD,50971000.0
2003,COD,52602000.0
2004,COD,54315000.0
2005,COD,56090000.0
2006,COD,57927000.0
2007,COD,59835000.0
2008,COD,61809000.0
2009,COD,63845000.0
2010,COD,65939000.0
2011,COD,68087000.0
2012,COD,70291000.0
2013,COD,72553000.0
2014,COD,74877000.0
2015,COD,77267000.0
2016,COD,79801000.0
2017,COD,82417000.0
2018,COD,85120000.0
2019,COD,87911000.0
2020,COD,90794000.0
2021,COD,93751000.0
2022,COD,96801000.0
2023,COD,99948000.0
2024,COD,103197000.0
2025,COD,106552000.0
1995,COG,2742000.0
1996,COG,2817000.0
1997,COG,2875000.0
1998,COG,2937000.0
1999,COG,3017000.0
2000,COG,3134000.0
2001,COG,3254000.0
2002,COG,3331000.0
2003,COG,3425000.0
2004,COG,3543000.0
2005,COG,3673000.0
2006,COG,3813000.0
2007,COG,3956000.0
2008,COG,4090000.0
2009,COG,4257000.0
2010,COG,4438000.0
2011,COG,4584000.0
2012,COG,4713000.0
2013,COG,4828000.0
2014,COG,4945000.0
2015,COG,5064000.0
2016,COG,5187000.0
2017,COG,5312000.0
2018,COG,5441000.0
2019,COG,5571000.0
2020,COG,5702000.0
2021,COG,5836000.0
2022,COG,5970000.0
2023,COG,6138000.0
2024,COG,6309000.0
2025,COG,6486000.0
1995,COL,36426000.0
1996,COL,37019000.0
1997,COL,37505000.0
1998,COL,38088000.0
1999,COL,38573000.0
2000,COL,39152000.0
2001,COL,39656000.0
2002,COL,40156000.0
2003,COL,40661000.0
2004,COL,41166000.0
2005,COL,41672000.0
2006,COL,42170000.0
2007,COL,42659000.0
2008,COL,43134000.0
2009,COL,43609000.0
2010,COL,44086000.0
2011,COL,44553000.0
2012,COL,45002000.0
2013,COL,45435000.0
2014,COL,45866000.0
2015,COL,46314000.0
2016,COL,46830000.0
2017,COL,47419000.0
2018,COL,48258000.0
2019,COL,49396000.0
2020,COL,50408000.0
2021,COL,51117000.0
2022,COL,51683000.0
2023,COL,52216000.0
2024,COL,52696000.0
2025,COL,53111000.0
1995,COM,484000.0
1996,COM,494000.0
1997,COM,505000.0
1998,COM,516000.0
1999,COM,526000.0
2000,COM,537000.0
2001,COM,548000.0
2002,COM,559000.0
2003,COM,570000.0
2004,COM,581000.0
2005,COM,593000.0
2006,COM,605000.0
2007,COM,617000.0
2008,COM,629000.0
2009,COM,642000.0
2010,COM,656000.0
2011,COM,670000.0
2012,COM,685000.0
2013,COM,699000.0
2014,COM,715000.0
2015,COM,730000.0
2016,COM,746000.0
2017,COM,762000.0
2018,COM,776000.0
2019,COM,791000.0
2020,COM,806000.0
2021,COM,822000.0
2022,COM,851000.0
2023,COM,870000.0
2024,COM,890000.0
2025,COM,910000.0
1995,CPV,370000.0
1996,CPV,379000.0
1997,CPV,388000.0
1998,CPV,397000.0
1999,CPV,405000.0
2000,CPV,414000.0
2001,CPV,422000.0
2002,CPV,430000.0
2003,CPV,438000.0
2004,CPV,445000.0
2005,CPV,451000.0
2006,CPV,457000.0
2007,CPV,463000.0
2008,CPV,468000.0
2009,CPV,473000.0
2010,CPV,478000.0
2011,CPV,481000.0
2012,CPV,483000.0
2013,CPV,486000.0
2014,CPV,489000.0
2015,CPV,491000.0
2016,CPV,493000.0
2017,CPV,496000.0
2018,CPV,498000.0
2019,CPV,500000.0
2020,CPV,502000.0
2021,CPV,504000.0
2022,CPV,507000.0
2023,CPV,509000.0
2024,CPV,512000.0
2025,CPV,514000.0
1995,CRI,3470000.0
1996,CRI,3565000.0
1997,CRI,3657000.0
1998,CRI,3747000.0
1999,CRI,3838000.0
2000,CRI,3810000.0
2001,CRI,3953000.0
2002,CRI,4022000.0
2003,CRI,4086000.0
2004,CRI,4152000.0
2005,CRI,4215000.0
2006,CRI,4279000.0
2007,CRI,4340000.0
2008,CRI,4404000.0
2009,CRI,4469000.0
2010,CRI,4554000.0
2011,CRI,4613000.0
2012,CRI,4673000.0
2013,CRI,4733000.0
2014,CRI,4793000.0
2015,CRI,4851000.0
2016,CRI,4909000.0
2017,CRI,4966000.0
2018,CRI,5022000.0
2019,CRI,5075000.0
2020,CRI,5128000.0
2021,CRI,5180000.0
2022,CRI,5229000.0
2023,CRI,5278000.0
2024,CRI,5325000.0
2025,CRI,5373000.0
1995,CYP,645000.0
1996,CYP,656000.0
1997,CYP,666000.0
1998,CYP,675000.0
1999,CYP,683000.0
2000,CYP,690000.0
2001,CYP,698000.0
2002,CYP,706000.0
2003,CYP,714000.0
2004,CYP,723000.0
2005,CYP,733000.0
2006,CYP,744000.0
2007,CYP,758000.0
2008,CYP,776000.0
2009,CYP,797000.0
2010,CYP,819000.0
2011,CYP,840000.0
2012,CYP,862000.0
2013,CYP,866000.0
2014,CYP,858000.0
2015,CYP,847000.0
2016,CYP,848000.0
2017,CYP,855000.0
2018,CYP,864000.0
2019,CYP,876000.0
2020,CYP,888000.0
2021,CYP,896000.0
2022,CYP,905000.0
2023,CYP,926000.0
2024,CYP,936000.0
2025,CYP,942000.0
1995,CZE,10333000.0
1996,CZE,10321000.0
1997,CZE,10309000.0
1998,CZE,10299000.0
1999,CZE,10290000.0
2000,CZE,10278000.0
2001,CZE,10232000.0
2002,CZE,10201000.0
2003,CZE,10193000.0
2004,CZE,10195000.0
2005,CZE,10199000.0
2006,CZE,10224000.0
2007,CZE,10254000.0
2008,CZE,10343000.0
2009,CZE,10426000.0
2010,CZE,10462000.0
2011,CZE,10487000.0
2012,CZE,10505000.0
2013,CZE,10516000.0
2014,CZE,10512000.0
2015,CZE,10538000.0
2016,CZE,10579000.0
2017,CZE,10610000.0
2018,CZE,10650000.0
2019,CZE,10694000.0
2020,CZE,10702000.0
2021,CZE,10517000.0
2022,CZE,10828000.0
2023,CZE,10851000.0
2024,CZE,10935000.0
2025,CZE,10904000.0
1995,DEU,81308000.0
1996,DEU,81466000.0
1997,DEU,81510000.0
1998,DEU,81446000.0
1999,DEU,81422000.0
2000,DEU,81457000.0
2001,DEU,81518000.0
2002,DEU,81579000.0
2003,DEU,81549000.0
2004,DEU,81457000.0
2005,DEU,81337000.0
2006,DEU,81174000.0
2007,DEU,80993000.0
2008,DEU,80765000.0
2009,DEU,80483000.0
2010,DEU,80285000.0
2011,DEU,80276000.0
2012,DEU,80427000.0
2013,DEU,80646000.0
2014,DEU,80983000.0
2015,DEU,81687000.0
2016,DEU,82349000.0
2017,DEU,82657000.0
2018,DEU,82906000.0
2019,DEU,83093000.0
2020,DEU,83161000.0
2021,DEU,83196000.0
2022,DEU,83798000.0
2023,DEU,84514000.0
2024,DEU,84716000.0
2025,DEU,84863000.0
1995,DJI,630000.0
1996,DJI,644000.0
1997,DJI,661000.0
1998,DJI,680000.0
1999,DJI,700000.0
2000,DJI,718000.0
2001,DJI,733000.0
2002,DJI,747000.0
2003,DJI,760000.0
2004,DJI,772000.0
2005,DJI,783000.0
2006,DJI,795000.0
2007,DJI,805000.0
2008,DJI,816000.0
2009,DJI,828000.0
2010,DJI,840000.0
2011,DJI,854000.0
2012,DJI,868000.0
2013,DJI,883000.0
2014,DJI,899000.0
2015,DJI,914000.0
2016,DJI,929000.0
2017,DJI,944000.0
2018,DJI,959000.0
2019,DJI,974000.0
2020,DJI,988000.0
2021,DJI,1002000.0
2022,DJI,1016000.0
2023,DJI,1030000.0
2024,DJI,1043000.0
2025,DJI,1056000.0
1995,DMA,71000.0
1996,DMA,71000.0
1997,DMA,71000.0
1998,DMA,71000.0
1999,DMA,71000.0
2000,DMA,71000.0
2001,DMA,71000.0
2002,DMA,71000.0
2003,DMA,71000.0
2004,DMA,71000.0
2005,DMA,71000.0
2006,DMA,71000.0
2007,DMA,71000.0
2008,DMA,71000.0
2009,DMA,71000.0
2010,DMA,71000.0
2011,DMA,70000.0
2012,DMA,69000.0
2013,DMA,70000.0
2014,DMA,70000.0
2015,DMA,71000.0
2016,DMA,71000.0
2017,DMA,69000.0
2018,DMA,70000.0
2019,DMA,72000.0
2020,DMA,73000.0
2021,DMA,74000.0
2022,DMA,74000.0
2023,DMA,74000.0
2024,DMA,75000.0
2025,DMA,75000.0
1995,DNK,5216000.0
1996,DNK,5251000.0
1997,DNK,5275000.0
1998,DNK,5295000.0
1999,DNK,5314000.0
2000,DNK,5330000.0
2001,DNK,5349000.0
2002,DNK,5368000.0
2003,DNK,5384000.0
2004,DNK,5398000.0
2005,DNK,5411000.0
2006,DNK,5427000.0
2007,DNK,5447000.0
2008,DNK,5476000.0
2009,DNK,5511000.0
2010,DNK,5535000.0
2011,DNK,5561000.0
2012,DNK,5581000.0
2013,DNK,5603000.0
2014,DNK,5627000.0
2015,DNK,5660000.0
2016,DNK,5707000.0
2017,DNK,5749000.0
2018,DNK,5781000.0
2019,DNK,5806000.0
2020,DNK,5823000.0
2021,DNK,5840000.0
2022,DNK,5873000.0
2023,DNK,5933000.0
2024,DNK,5961000.0
2025,DNK,6002000.0
1995,DOM,7771000.0
1996,DOM,7897000.0
1997,DOM,8023000.0
1998,DOM,8152000.0
1999,DOM,8276000.0
2000,DOM,8398000.0
2001,DOM,8513000.0
2002,DOM,8628000.0
2003,DOM,8745000.0
2004,DOM,8858000.0
2005,DOM,8968000.0
2006,DOM,9071000.0
2007,DOM,9174000.0
2008,DOM,9280000.0
2009,DOM,9380000.0
2010,DOM,9479000.0
2011,DOM,9580000.0
2012,DOM,9681000.0
2013,DOM,9785000.0
2014,DOM,9883000.0
2015,DOM,9980000.0
2016,DOM,10075000.0
2017,DOM,10169000.0
2018,DOM,10266000.0
2019,DOM,10358000.0
2020,DOM,10448000.0
2021,DOM,10536000.0
2022,DOM,10622000.0
2023,DOM,10709000.0
2024,DOM,10797000.0
2025,DOM,10885000.0
1995,DZA,28060000.0
1996,DZA,28566000.0
1997,DZA,29045000.0
1998,DZA,29507000.0
1999,DZA,29965000.0
2000,DZA,30506000.0
2001,DZA,30954000.0
2002,DZA,31414000.0
2003,DZA,31885000.0
2004,DZA,32366000.0
2005,DZA,32855000.0
2006,DZA,33351000.0
2007,DZA,33858000.0
2008,DZA,34591000.0
2009,DZA,35268000.0
2010,DZA,35978000.0
2011,DZA,36717000.0
2012,DZA,37495000.0
2013,DZA,38297000.0
2014,DZA,39114000.0
2015,DZA,39963000.0
2016,DZA,40836000.0
2017,DZA,41721000.0
2018,DZA,42578000.0
2019,DZA,43424000.0
2020,DZA,43851000.0
2021,DZA,44577000.0
2022,DZA,45291000.0
2023,DZA,45973000.0
2024,DZA,46626000.0
2025,DZA,47251000.0
1995,ECU,11551000.0
1996,ECU,11751000.0
1997,ECU,11938000.0
1998,ECU,12119000.0
1999,ECU,12297000.0
2000,ECU,12481000.0
2001,ECU,12681000.0
2002,ECU,12901000.0
2003,ECU,13132000.0
2004,ECU,13367000.0
2005,ECU,13604000.0
2006,ECU,13852000.0
2007,ECU,14107000.0
2008,ECU,14359000.0
2009,ECU,14616000.0
2010,ECU,14884000.0
2011,ECU,15161000.0
2012,ECU,15441000.0
2013,ECU,15718000.0
2014,ECU,15994000.0
2015,ECU,16269000.0
2016,ECU,16532000.0
2017,ECU,16793000.0
2018,ECU,17078000.0
2019,ECU,17357000.0
2020,ECU,17526000.0
2021,ECU,17614000.0
2022,ECU,17715000.0
2023,ECU,17835000.0
2024,ECU,17967000.0
2025,ECU,18104000.0
1995,EGY,57600000.0
1996,EGY,58800000.0
1997,EGY,60100000.0
1998,EGY,61300000.0
1999,EGY,62600000.0
2000,EGY,64000000.0
2001,EGY,65300000.0
2002,EGY,66600000.0
2003,EGY,68000000.0
2004,EGY,69300000.0
2005,EGY,70700000.0
2006,EGY,72200000.0
2007,EGY,73600000.0
2008,EGY,75200000.0
2009,EGY,76900000.0
2010,EGY,78700000.0
2011,EGY,80500000.0
2012,EGY,82500000.0
2013,EGY,84600000.0
2014,EGY,86800000.0
2015,EGY,89000000.0
2016,EGY,91000000.0
2017,EGY,95200000.0
2018,EGY,97100000.0
2019,EGY,98900000.0
2020,EGY,100600000.0
2021,EGY,102100000.0
2022,EGY,103600000.0
2023,EGY,105200000.0
2024,EGY,107304000.0
2025,EGY,109450000.0
1995,ERI,2204000.0
1996,ERI,2196000.0
1997,ERI,2195000.0
1998,ERI,2206000.0
1999,ERI,2237000.0
2000,ERI,2292000.0
2001,ERI,2375000.0
2002,ERI,2481000.0
2003,ERI,2601000.0
2004,ERI,2720000.0
2005,ERI,2827000.0
2006,ERI,2918000.0
2007,ERI,2997000.0
2008,ERI,3063000.0
2009,ERI,3120000.0
2010,ERI,3170000.0
2011,ERI,3214000.0
2012,ERI,3250000.0
2013,ERI,3281000.0
2014,ERI,3311000.0
2015,ERI,3343000.0
2016,ERI,3377000.0
2017,ERI,3413000.0
2018,ERI,3453000.0
2019,ERI,3497000.0
1995,ESP,39781000.0
1996,ESP,39873000.0
1997,ESP,39978000.0
1998,ESP,40118000.0
1999,ESP,40325000.0
2000,ESP,40666000.0
2001,ESP,41035000.0
2002,ESP,41828000.0
2003,ESP,42547000.0
2004,ESP,43296000.0
2005,ESP,44010000.0
2006,ESP,44785000.0
2007,ESP,45669000.0
2008,ESP,46239000.0
2009,ESP,46487000.0
2010,ESP,46667000.0
2011,ESP,46818000.0
2012,ESP,46713000.0
2013,ESP,46496000.0
2014,ESP,46426000.0
2015,ESP,46419000.0
2016,ESP,46497000.0
2017,ESP,46645000.0
2018,ESP,46919000.0
2019,ESP,47318000.0
2020,ESP,47401000.0
2021,ESP,47487000.0
2022,ESP,48085000.0
2023,ESP,48628000.0
2024,ESP,49078000.0
2025,ESP,49721000.0
1995,EST,1437000.0
1996,EST,1416000.0
1997,EST,1400000.0
1998,EST,1386000.0
1999,EST,1390000.0
2000,EST,1397000.0
2001,EST,1388000.0
2002,EST,1379000.0
2003,EST,1371000.0
2004,EST,1363000.0
2005,EST,1355000.0
2006,EST,1347000.0
2007,EST,1341000.0
2008,EST,1337000.0
2009,EST,1335000.0
2010,EST,1331000.0
2011,EST,1327000.0
2012,EST,1323000.0
2013,EST,1318000.0
2014,EST,1315000.0
2015,EST,1315000.0
2016,EST,1316000.0
2017,EST,1317000.0
2018,EST,1322000.0
2019,EST,1327000.0
2020,EST,1330000.0
2021,EST,1331000.0
2022,EST,1349000.0
2023,EST,1370000.0
2024,EST,1371000.0
2025,EST,1374000.0
1995,ETH,52212000.0
1996,ETH,53789000.0
1997,ETH,55345000.0
1998,ETH,56891000.0
1999,ETH,58448000.0
2000,ETH,60030000.0
2001,ETH,61591000.0
2002,ETH,63192000.0
2003,ETH,64835000.0
2004,ETH,66521000.0
2005,ETH,68250000.0
2006,ETH,70025000.0
2007,ETH,72421000.0
2008,ETH,74879000.0
2009,ETH,76826000.0
2010,ETH,78824000.0
2011,ETH,80700000.0
2012,ETH,82700000.0
2013,ETH,84800000.0
2014,ETH,87000000.0
2015,ETH,89100000.0
2016,ETH,91200000.0
2017,ETH,93400000.0
2018,ETH,95500000.0
2019,ETH,97600000.0
2020,ETH,99700000.0
2021,ETH,101900000.0
2022,ETH,104082000.0
2023,ETH,105707000.0
2024,ETH,108414000.0
2025,ETH,110148000.0
1995,FIN,5099000.0
1996,FIN,5117000.0
1997,FIN,5132000.0
1998,FIN,5147000.0
1999,FIN,5160000.0
2000,FIN,5171000.0
2001,FIN,5181000.0
2002,FIN,5195000.0
2003,FIN,5206000.0
2004,FIN,5220000.0
2005,FIN,5237000.0
2006,FIN,5256000.0
2007,FIN,5277000.0
2008,FIN,5300000.0
2009,FIN,5326000.0
2010,FIN,5351000.0
2011,FIN,5375000.0
2012,FIN,5401000.0
2013,FIN,5427000.0
2014,FIN,5451000.0
2015,FIN,5472000.0
2016,FIN,5487000.0
2017,FIN,5503000.0
2018,FIN,5513000.0
2019,FIN,5518000.0
2020,FIN,5525000.0
2021,FIN,5534000.0
2022,FIN,5548000.0
2023,FIN,5564000.0
2024,FIN,5604000.0
2025,FIN,5612000.0
1995,FJI,768000.0
1996,FJI,775000.0
1997,FJI,782000.0
1998,FJI,791000.0
1999,FJI,797000.0
2000,FJI,802000.0
2001,FJI,805000.0
2002,FJI,810000.0
2003,FJI,816000.0
2004,FJI,821000.0
2005,FJI,827000.0
2006,FJI,830000.0
2007,FJI,837000.0
2008,FJI,838000.0
2009,FJI,843000.0
2010,FJI,848000.0
2011,FJI,852000.0
2012,FJI,857000.0
2013,FJI,860000.0
2014,FJI,864000.0
2015,FJI,868000.0
2016,FJI,871000.0
2017,FJI,885000.0
2018,FJI,890000.0
2019,FJI,896000.0
2020,FJI,901000.0
2021,FJI,906000.0
2022,FJI,912000.0
2023,FJI,917000.0
2024,FJI,923000.0
2025,FJI,928000.0
1995,FRA,59281000.0
1996,FRA,59487000.0
1997,FRA,59691000.0
1998,FRA,59899000.0
1999,FRA,60123000.0
2000,FRA,60508000.0
2001,FRA,60941000.0
2002,FRA,61385000.0
2003,FRA,61824000.0
2004,FRA,62251000.0
2005,FRA,62731000.0
2006,FRA,63186000.0
2007,FRA,63601000.0
2008,FRA,63962000.0
2009,FRA,64305000.0
2010,FRA,64613000.0
2011,FRA,64933000.0
2012,FRA,65241000.0
2013,FRA,65565000.0
2014,FRA,66131000.0
2015,FRA,66422000.0
2016,FRA,66603000.0
2017,FRA,66774000.0
2018,FRA,66992000.0
2019,FRA,67258000.0
2020,FRA,67442000.0
2021,FRA,67697000.0
2022,FRA,68060000.0
2023,FRA,68246000.0
2024,FRA,68437000.0
2025,FRA,68628000.0
1995,FSM,106000.0
1996,FSM,106000.0
1997,FSM,106000.0
1998,FSM,107000.0
1999,FSM,107000.0
2000,FSM,107000.0
2001,FSM,107000.0
2002,FSM,106000.0
2003,FSM,106000.0
2004,FSM,106000.0
2005,FSM,106000.0
2006,FSM,105000.0
2007,FSM,104000.0
2008,FSM,104000.0
2009,FSM,103000.0
2010,FSM,103000.0
2011,FSM,104000.0
2012,FSM,104000.0
2013,FSM,104000.0
2014,FSM,103000.0
2015,FSM,103000.0
2016,FSM,102000.0
2017,FSM,101000.0
2018,FSM,100000.0
2019,FSM,98000.0
2020,FSM,97000.0
2021,FSM,96000.0
2022,FSM,95000.0
2023,FSM,95000.0
2024,FSM,95000.0
2025,FSM,95000.0
1995,GAB,1065000.0
1996,GAB,1092000.0
1997,GAB,1119000.0
1998,GAB,1147000.0
1999,GAB,1176000.0
2000,GAB,1205000.0
2001,GAB,1235000.0
2002,GAB,1266000.0
2003,GAB,1298000.0
2004,GAB,1330000.0
2005,GAB,1364000.0
2006,GAB,1398000.0
2007,GAB,1440000.0
2008,GAB,1494000.0
2009,GAB,1551000.0
2010,GAB,1610000.0
2011,GAB,1671000.0
2012,GAB,1735000.0
2013,GAB,1803000.0
2014,GAB,1868000.0
2015,GAB,1930000.0
2016,GAB,1980000.0
2017,GAB,2025000.0
2018,GAB,2053000.0
2019,GAB,2080000.0
2020,GAB,2108000.0
2021,GAB,2135000.0
2022,GAB,2161000.0
2023,GAB,2209000.0
2024,GAB,2258000.0
2025,GAB,2306000.0
1995,GBR,58025000.0
1996,GBR,58164000.0
1997,GBR,58314000.0
1998,GBR,58475000.0
1999,GBR,58684000.0
2000,GBR,58886000.0
2001,GBR,59113000.0
2002,GBR,59366000.0
2003,GBR,59637000.0
2004,GBR,59950000.0
2005,GBR,60413000.0
2006,GBR,60827000.0
2007,GBR,61319000.0
2008,GBR,61824000.0
2009,GBR,62261000.0
2010,GBR,62760000.0
2011,GBR,63285000.0
2012,GBR,63705000.0
2013,GBR,64106000.0
2014,GBR,64597000.0
2015,GBR,65110000.0
2016,GBR,65648000.0
2017,GBR,66040000.0
2018,GBR,66436000.0
2019,GBR,66797000.0
2020,GBR,67081000.0
2021,GBR,67280000.0
2022,GBR,67600000.0
2023,GBR,68500000.0
2024,GBR,69226000.0
2025,GBR,69868000.0
1995,GEO,4742000.0
1996,GEO,4573000.0
1997,GEO,4410000.0
1998,GEO,4290000.0
1999,GEO,4198000.0
2000,GEO,4117000.0
2001,GEO,4038000.0
2002,GEO,3991000.0
2003,GEO,3966000.0
2004,GEO,3938000.0
2005,GEO,3917000.0
2006,GEO,3888000.0
2007,GEO,3873000.0
2008,GEO,3848000.0
2009,GEO,3829000.0
2010,GEO,3800000.0
2011,GEO,3774000.0
2012,GEO,3739000.0
2013,GEO,3718000.0
2014,GEO,3717000.0
2015,GEO,3722000.0
2016,GEO,3729000.0
2017,GEO,3726000.0
2018,GEO,3730000.0
2019,GEO,3724000.0
2020,GEO,3717000.0
2021,GEO,3729000.0
2022,GEO,3689000.0
2023,GEO,3736000.0
2024,GEO,3695000.0
2025,GEO,3694000.0
1995,GHA,17399000.0
1996,GHA,17810000.0
1997,GHA,18239000.0
1998,GHA,18688000.0
1999,GHA,19150000.0
2000,GHA,19637000.0
2001,GHA,20167000.0
2002,GHA,20729000.0
2003,GHA,21297000.0
2004,GHA,21868000.0
2005,GHA,22449000.0
2006,GHA,23041000.0
2007,GHA,23642000.0
2008,GHA,24250000.0
2009,GHA,24863000.0
2010,GHA,25475000.0
2011,GHA,26095000.0
2012,GHA,26734000.0
2013,GHA,27386000.0
2014,GHA,28042000.0
2015,GHA,28696000.0
2016,GHA,29357000.0
2017,GHA,30008000.0
2018,GHA,30638000.0
2019,GHA,31259000.0
2020,GHA,31888000.0
2021,GHA,32519000.0
2022,GHA,33149000.0
2023,GHA,33788000.0
2024,GHA,34427000.0
2025,GHA,35064000.0
1995,GIN,7837000.0
1996,GIN,8095000.0
1997,GIN,8296000.0
1998,GIN,8457000.0
1999,GIN,8601000.0
2000,GIN,8746000.0
2001,GIN,8895000.0
2002,GIN,9046000.0
2003,GIN,9205000.0
2004,GIN,9380000.0
2005,GIN,9576000.0
2006,GIN,9799000.0
2007,GIN,10047000.0
2008,GIN,10315000.0
2009,GIN,10593000.0
2010,GIN,10876000.0
2011,GIN,11162000.0
2012,GIN,11451000.0
2013,GIN,11745000.0
2014,GIN,12044000.0
2015,GIN,12345000.0
2016,GIN,12654000.0
2017,GIN,12970000.0
2018,GIN,13294000.0
2019,GIN,13627000.0
2020,GIN,13967000.0
2021,GIN,14317000.0
2022,GIN,14674000.0
2023,GIN,15041000.0
2024,GIN,15417000.0
2025,GIN,15803000.0
1995,GMB,1115000.0
1996,GMB,1148000.0
1997,GMB,1201000.0
1998,GMB,1238000.0
1999,GMB,1277000.0
2000,GMB,1318000.0
2001,GMB,1360000.0
2002,GMB,1404000.0
2003,GMB,1450000.0
2004,GMB,1497000.0
2005,GMB,1544000.0
2006,GMB,1591000.0
2007,GMB,1640000.0
2008,GMB,1689000.0
2009,GMB,1740000.0
2010,GMB,1793000.0
2011,GMB,1848000.0
2012,GMB,1905000.0
2013,GMB,1964000.0
2014,GMB,2024000.0
2015,GMB,2086000.0
2016,GMB,2149000.0
2017,GMB,2214000.0
2018,GMB,2280000.0
2019,GMB,2349000.0
2020,GMB,2419000.0
2021,GMB,2492000.0
2022,GMB,2567000.0
2023,GMB,2644000.0
2024,GMB,2724000.0
2025,GMB,2805000.0
1995,GNB,1072000.0
1996,GNB,1095000.0
1997,GNB,1119000.0
1998,GNB,1144000.0
1999,GNB,1169000.0
2000,GNB,1194000.0
2001,GNB,1219000.0
2002,GNB,1246000.0
2003,GNB,1272000.0
2004,GNB,1299000.0
2005,GNB,1328000.0
2006,GNB,1356000.0
2007,GNB,1386000.0
2008,GNB,1417000.0
2009,GNB,1449000.0
2010,GNB,1460000.0
2011,GNB,1492000.0
2012,GNB,1525000.0
2013,GNB,1559000.0
2014,GNB,1593000.0
2015,GNB,1628000.0
2016,GNB,1664000.0
2017,GNB,1700000.0
2018,GNB,1738000.0
2019,GNB,1776000.0
2020,GNB,1815000.0
2021,GNB,1855000.0
2022,GNB,1896000.0
2023,GNB,1937000.0
2024,GNB,1978000.0
2025,GNB,2019000.0
1995,GNQ,505000.0
1996,GNQ,524000.0
1997,GNQ,545000.0
1998,GNQ,567000.0
1999,GNQ,590000.0
2000,GNQ,614000.0
2001,GNQ,640000.0
2002,GNQ,666000.0
2003,GNQ,695000.0
2004,GNQ,725000.0
2005,GNQ,757000.0
2006,GNQ,792000.0
2007,GNQ,829000.0
2008,GNQ,868000.0
2009,GNQ,909000.0
2010,GNQ,951000.0
2011,GNQ,994000.0
2012,GNQ,1039000.0
2013,GNQ,1084000.0
2014,GNQ,1129000.0
2015,GNQ,1175000.0
2016,GNQ,1221000.0
2017,GNQ,1268000.0
2018,GNQ,1314000.0
2019,GNQ,1360000.0
2020,GNQ,1406000.0
2021,GNQ,1452000.0
2022,GNQ,1498000.0
2023,GNQ,1544000.0
2024,GNQ,1590000.0
2025,GNQ,1637000.0
1995,GRC,10536000.0
1996,GRC,10588000.0
1997,GRC,10629000.0
1998,GRC,10693000.0
1999,GRC,10748000.0
2000,GRC,10776000.0
2001,GRC,10836000.0
2002,GRC,10888000.0
2003,GRC,10916000.0
2004,GRC,10940000.0
2005,GRC,10970000.0
2006,GRC,11005000.0
2007,GRC,11036000.0
2008,GRC,11061000.0
2009,GRC,11095000.0
2010,GRC,11119000.0
2011,GRC,11123000.0
2012,GRC,11086000.0
2013,GRC,11004000.0
2014,GRC,10927000.0
2015,GRC,10858000.0
2016,GRC,10784000.0
2017,GRC,10768000.0
2018,GRC,10741000.0
2019,GRC,10725000.0
2020,GRC,10719000.0
2021,GRC,10679000.0
2022,GRC,10460000.0
2023,GRC,10414000.0
2024,GRC,10401000.0
2025,GRC,10380000.0
1995,GRD,100000.0
1996,GRD,101000.0
1997,GRD,102000.0
1998,GRD,102000.0
1999,GRD,102000.0
2000,GRD,103000.0
2001,GRD,103000.0
2002,GRD,104000.0
2003,GRD,105000.0
2004,GRD,105000.0
2005,GRD,104000.0
2006,GRD,105000.0
2007,GRD,105000.0
2008,GRD,105000.0
2009,GRD,105000.0
2010,GRD,105000.0
2011,GRD,107000.0
2012,GRD,108000.0
2013,GRD,109000.0
2014,GRD,109000.0
2015,GRD,110000.0
2016,GRD,111000.0
2017,GRD,111000.0
2018,GRD,112000.0
2019,GRD,113000.0
2020,GRD,113000.0
2021,GRD,114000.0
2022,GRD,114000.0
2023,GRD,115000.0
2024,GRD,116000.0
2025,GRD,116000.0
1995,GTM,10287000.0
1996,GTM,10537000.0
1997,GTM,10788000.0
1998,GTM,11046000.0
1999,GTM,11311000.0
2000,GTM,11590000.0
2001,GTM,11872000.0
2002,GTM,12148000.0
2003,GTM,12415000.0
2004,GTM,12682000.0
2005,GTM,12948000.0
2006,GTM,13213000.0
2007,GTM,13477000.0
2008,GTM,13739000.0
2009,GTM,14000000.0
2010,GTM,14260000.0
2011,GTM,14522000.0
2012,GTM,14782000.0
2013,GTM,15044000.0
2014,GTM,15306000.0
2015,GTM,15567000.0
2016,GTM,15828000.0
2017,GTM,16087000.0
2018,GTM,16347000.0
2019,GTM,16604000.0
2020,GTM,16858000.0
2021,GTM,17110000.0
2022,GTM,17358000.0
2023,GTM,17602000.0
2024,GTM,17850000.0
2025,GTM,18091000.0
1995,GUY,727000.0
1996,GUY,730000.0
1997,GUY,734000.0
1998,GUY,737000.0
1999,GUY,740000.0
2000,GUY,742000.0
2001,GUY,743000.0
2002,GUY,743000.0
2003,GUY,743000.0
2004,GUY,742000.0
2005,GUY,742000.0
2006,GUY,744000.0
2007,GUY,746000.0
2008,GUY,748000.0
2009,GUY,751000.0
2010,GUY,753000.0
2011,GUY,756000.0
2012,GUY,758000.0
2013,GUY,761000.0
2014,GUY,764000.0
2015,GUY,767000.0
2016,GUY,773000.0
2017,GUY,778000.0
2018,GUY,782000.0
2019,GUY,785000.0
2020,GUY,787000.0
2021,GUY,789000.0
